survey_id,employee_id,department,level,survey_date,survey_quarter,engagement_score,manager_score,growth_score,worklife_score,belonging_score,overall_score,free_text_comment
SRV-01-EMP-00174,EMP-00174,Product,IC2,2025-03-15,Q1 2025,3,4,3,4,2,3.2,Workload is manageable but could be better distributed.
SRV-01-EMP-04431,EMP-04431,Engineering,IC1,2025-03-15,Q1 2025,5,4,4,4,4,4.2,My manager supports my growth and gives clear feedback.
SRV-01-EMP-01129,EMP-01129,Operations,Senior,2025-03-15,Q1 2025,4,4,3,3,4,3.6,Some processes could be streamlined.
SRV-01-EMP-01244,EMP-01244,Sales,Senior,2025-03-15,Q1 2025,3,2,3,2,3,2.6,
SRV-01-EMP-00807,EMP-00807,Marketing,IC1,2025-03-15,Q1 2025,4,3,3,3,3,3.2,Communication between teams could improve.
SRV-01-EMP-02978,EMP-02978,Sales,IC2,2025-03-15,Q1 2025,4,4,5,4,4,4.2,The new tools and processes have made my job easier.
SRV-01-EMP-02629,EMP-02629,Operations,IC1,2025-03-15,Q1 2025,4,5,5,4,4,4.4,Excellent mentorship opportunities within the department.
SRV-01-EMP-04338,EMP-04338,Marketing,IC2,2025-03-15,Q1 2025,4,4,3,4,4,3.8,Would appreciate more clarity on career progression.
SRV-01-EMP-01153,EMP-01153,Engineering,IC2,2025-03-15,Q1 2025,4,5,4,4,5,4.4,
SRV-01-EMP-01593,EMP-01593,Sales,IC2,2025-03-15,Q1 2025,4,4,4,5,5,4.4,
SRV-01-EMP-00881,EMP-00881,Sales,IC1,2025-03-15,Q1 2025,4,5,4,4,4,4.2,
SRV-01-EMP-03597,EMP-03597,Engineering,IC1,2025-03-15,Q1 2025,5,5,5,5,5,5.0,
SRV-01-EMP-00489,EMP-00489,Operations,Senior,2025-03-15,Q1 2025,4,4,4,4,4,4.0,The new tools and processes have made my job easier.
SRV-01-EMP-00510,EMP-00510,Product,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,I feel valued and my contributions are recognized.
SRV-01-EMP-01515,EMP-01515,Engineering,IC2,2025-03-15,Q1 2025,4,5,5,4,5,4.6,I feel empowered to make decisions in my role.
SRV-01-EMP-03934,EMP-03934,Operations,Senior,2025-03-15,Q1 2025,4,3,4,4,3,3.6,Benefits are competitive but not exceptional.
SRV-01-EMP-03356,EMP-03356,Product,IC1,2025-03-15,Q1 2025,4,4,4,4,4,4.0,The new tools and processes have made my job easier.
SRV-01-EMP-00668,EMP-00668,Engineering,Senior,2025-03-15,Q1 2025,3,4,4,4,4,3.8,Workload is manageable but could be better distributed.
SRV-01-EMP-03251,EMP-03251,Product,Senior,2025-03-15,Q1 2025,3,3,2,3,4,3.0,Communication between teams could improve.
SRV-01-EMP-01488,EMP-01488,Engineering,IC2,2025-03-15,Q1 2025,4,4,5,5,4,4.4,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-03869,EMP-03869,Finance,IC1,2025-03-15,Q1 2025,4,5,4,4,5,4.4,I feel empowered to make decisions in my role.
SRV-01-EMP-00318,EMP-00318,Sales,IC1,2025-03-15,Q1 2025,4,4,4,5,4,4.2,Really enjoy working with my team. Great collaboration.
SRV-01-EMP-02583,EMP-02583,Marketing,Manager,2025-03-15,Q1 2025,4,3,4,5,4,4.0,The new tools and processes have made my job easier.
SRV-01-EMP-01946,EMP-01946,Finance,IC2,2025-03-15,Q1 2025,4,5,5,4,5,4.6,The new tools and processes have made my job easier.
SRV-01-EMP-01138,EMP-01138,Operations,IC2,2025-03-15,Q1 2025,3,3,3,2,3,2.8,Compensation does not match market rates for my role.
SRV-01-EMP-01866,EMP-01866,Customer Success,IC1,2025-03-15,Q1 2025,4,4,3,4,4,3.8,The office setup is adequate for my needs.
SRV-01-EMP-01986,EMP-01986,Sales,IC1,2025-03-15,Q1 2025,4,4,4,3,5,4.0,Company culture is supportive and inclusive.
SRV-01-EMP-04931,EMP-04931,Operations,IC1,2025-03-15,Q1 2025,4,4,5,4,4,4.2,Strong alignment between team goals and company mission.
SRV-01-EMP-01788,EMP-01788,Operations,IC1,2025-03-15,Q1 2025,4,4,3,3,3,3.4,Overall satisfied but see room for improvement.
SRV-01-EMP-04149,EMP-04149,Engineering,Senior,2025-03-15,Q1 2025,4,4,4,4,4,4.0,
SRV-01-EMP-02792,EMP-02792,Product,Manager,2025-03-15,Q1 2025,4,5,4,5,5,4.6,
SRV-01-EMP-01108,EMP-01108,Engineering,Senior,2025-03-15,Q1 2025,4,5,5,5,5,4.8,Company culture is supportive and inclusive.
SRV-01-EMP-04754,EMP-04754,HR,IC2,2025-03-15,Q1 2025,5,4,4,5,4,4.4,Strong alignment between team goals and company mission.
SRV-01-EMP-00480,EMP-00480,Finance,IC2,2025-03-15,Q1 2025,4,4,3,5,4,4.0,I feel empowered to make decisions in my role.
